epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,165153,0.54256,0.66955,1.10134,0.82336,0.76843,0.83157,0.78699,0.311,0.51415,0.97483,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,170147,0.53641,0.65613,1.09754,0.81885,0.7726,0.83123,0.78737,0.30851,0.51478,0.97246,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,174926,0.53532,0.65019,1.09756,0.80915,0.7821,0.83136,0.78829,0.30558,0.51173,0.96931,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,179280,0.52878,0.63841,1.09344,0.8118,0.78279,0.8338,0.79124,0.30422,0.50865,0.96859,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,183641,0.52814,0.63478,1.09329,0.81397,0.78107,0.83458,0.79275,0.30347,0.5076,0.96801,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,188010,0.52154,0.61943,1.08841,0.82008,0.77904,0.83477,0.79273,0.30124,0.50645,0.96652,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,192390,0.51838,0.60851,1.08631,0.81638,0.77796,0.83619,0.7948,0.29924,0.50473,0.96508,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,196755,0.51435,0.59893,1.08548,0.81184,0.78391,0.83869,0.79746,0.29686,0.50416,0.96306,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,201124,0.50596,0.58727,1.07889,0.81607,0.78514,0.83922,0.79848,0.29441,0.50367,0.96076,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,205511,0.39487,0.31419,1.08146,0.81593,0.79058,0.84199,0.80436,0.2831,0.49942,0.95127,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,210419,0.37534,0.28937,1.06208,0.83147,0.78278,0.84395,0.80929,0.27167,0.49322,0.94208,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,215907,0.36702,0.27358,1.05426,0.8372,0.7825,0.84591,0.81358,0.26191,0.48803,0.93391,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,221403,0.3569,0.26065,1.04545,0.81569,0.79759,0.84588,0.81578,0.25367,0.48456,0.92671,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,226789,0.34683,0.24677,1.03513,0.81683,0.79832,0.84647,0.81812,0.24693,0.48251,0.92066,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,232227,0.33844,0.23296,1.02819,0.81557,0.79969,0.8463,0.81845,0.2408,0.48143,0.91507,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,237623,0.33298,0.22217,1.02571,0.83209,0.78368,0.84495,0.81767,0.23549,0.48185,0.91055,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,242224,0.32376,0.21071,1.0155,0.8151,0.79617,0.84369,0.81652,0.23153,0.48208,0.90741,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,246585,0.31636,0.2002,1.00893,0.83508,0.78224,0.84178,0.8151,0.22776,0.48276,0.90456,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,250946,0.30868,0.19207,1.00298,0.8374,0.77998,0.83924,0.81225,0.22513,0.48521,0.90302,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
