epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,24191,0.54967,0.63684,1.09005,0.80668,0.78659,0.8289,0.77929,0.32436,0.76668,0.98375,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,24942,0.53876,0.61661,1.08497,0.81325,0.78087,0.82836,0.77928,0.31933,0.76549,0.98066,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,25692.1,0.5308,0.59607,1.07804,0.81314,0.77501,0.82852,0.78125,0.31471,0.75783,0.97789,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,26444.5,0.52947,0.5889,1.07895,0.7985,0.78324,0.82671,0.78124,0.31195,0.74857,0.97478,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,27198.7,0.52183,0.57285,1.07509,0.80327,0.77615,0.82743,0.78049,0.31115,0.75454,0.97338,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,27951.5,0.51393,0.56976,1.06718,0.79303,0.77956,0.82572,0.77992,0.30883,0.76855,0.97168,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,28701.9,0.51022,0.55022,1.06729,0.80801,0.76403,0.82516,0.77907,0.30631,0.77821,0.96871,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,29452,0.50339,0.53468,1.06357,0.7957,0.76784,0.82366,0.77929,0.30443,0.77569,0.96765,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,30203.7,0.50109,0.52798,1.06025,0.81022,0.75649,0.82234,0.7792,0.30229,0.77776,0.96667,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,30962.3,0.40046,0.26278,1.06426,0.81897,0.7539,0.82074,0.77938,0.29414,0.77745,0.96041,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,31711,0.38225,0.24487,1.04615,0.81023,0.76247,0.82237,0.78148,0.28805,0.77639,0.95493,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,32454.9,0.36915,0.22868,1.03449,0.81392,0.75954,0.82439,0.78445,0.28319,0.77241,0.95105,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,33198.1,0.36484,0.22142,1.03195,0.81454,0.75894,0.82268,0.78502,0.28028,0.77585,0.94918,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,33942.3,0.35115,0.21025,1.01909,0.81749,0.7645,0.82251,0.78586,0.27766,0.77849,0.94782,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,34680.6,0.3412,0.20239,1.00866,0.81749,0.76657,0.82287,0.7868,0.27517,0.78148,0.94641,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,35424.2,0.33219,0.19305,1.00153,0.81644,0.7733,0.82336,0.78727,0.27264,0.78544,0.94398,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,36164.5,0.32603,0.18759,0.99965,0.81784,0.77163,0.82303,0.78757,0.27103,0.78969,0.94299,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,36908.7,0.31891,0.17908,0.99051,0.81895,0.77029,0.82212,0.7872,0.2695,0.79326,0.94227,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,37651.9,0.30853,0.17226,0.9838,0.81965,0.77092,0.82203,0.78716,0.26818,0.79668,0.94183,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
