class,exp07_ap50,exp09_ap50,delta
seafood-spicy-tang,0.812,0.6402,-0.172
takoyaki,0.866,0.7132,-0.153
cold-noodles,0.8862,0.7539,-0.132
udon,0.8598,0.7683,-0.092
bread,0.8905,0.8011,-0.089
seafood-clear-tang,0.8265,0.7481,-0.078
korean-red-soup,0.784,0.7063,-0.078
stir-fried-pork,0.5079,0.4373,-0.071
sweet-and-sour-pork,0.3597,0.2911,-0.069
tteokbokki-cream-rose,0.9002,0.8439,-0.056
rice-soup,0.7544,0.6982,-0.056
squid-dish,0.9905,0.9356,-0.055
kalguksu,0.949,0.8945,-0.054
doenjang-jjigae,0.8958,0.8419,-0.054
barbecue-ribs,0.9142,0.863,-0.051
grilled-pork-belly,0.9173,0.8662,-0.051
grilled-beef,0.8937,0.8445,-0.049
korean-clear-soup,0.7904,0.7419,-0.048
bulgogi,0.8265,0.7781,-0.048
rice-noodle-soup,0.7641,0.7163,-0.048
grilled-fish,0.956,0.9112,-0.045
jjigae-red,0.6914,0.6554,-0.036
savory-pancake,0.9296,0.8944,-0.035
pizza,0.9916,0.9581,-0.034
shrimp-dish,0.9567,0.9236,-0.033
spicy-mixed-noodles,0.8632,0.8323,-0.031
raw-fish,0.8938,0.8642,-0.030
fish-cake,0.9553,0.9312,-0.024
tteokbokki-red,0.9089,0.8877,-0.021
hot-pot,0.79,0.7724,-0.018
seaweed-rice-roll,0.9224,0.9057,-0.017
mixed-rice-bowl,0.897,0.8816,-0.015
mala-hot-pot,0.2521,0.2401,-0.012
noodle-plain,0.8215,0.8101,-0.011
dumplings,0.8859,0.8839,-0.002
fried-rice,0.9945,0.9928,-0.002
cake,0.9741,0.9724,-0.002
hamburger,0.995,0.9945,-0.000
korean-ramyeon-red,0.987,0.9865,-0.000
black-bean-noodles,0.995,0.995,+0.000
rice-porridge,0.9618,0.9623,+0.001
pork-cutlet-dry,0.9103,0.911,+0.001
braised-chicken,0.9674,0.9708,+0.003
western-cream-soup,0.9848,0.9906,+0.006
sushi,0.9542,0.9622,+0.008
dim-sum,0.9826,0.9936,+0.011
jjamppong,0.6437,0.6559,+0.012
korean-blood-sausage,0.9504,0.9629,+0.012
curry,0.8803,0.8939,+0.014
braised-pork-hock,0.9742,0.9918,+0.018
salad,0.9234,0.9473,+0.024
sandwich,0.9368,0.9621,+0.025
pasta,0.9199,0.9471,+0.027
pork-cutlet-sauced,0.7466,0.7803,+0.034
rice-bowl,0.894,0.9291,+0.035
japanese-ramen,0.8325,0.8727,+0.040
seafood-jjim,0.8219,0.8656,+0.044
fried-food-platter,0.8619,0.9112,+0.049
nagasaki-champon,0.595,0.6543,+0.059
cold-ramen,0.8092,0.8888,+0.080
tteokbokki-jajang,0.7045,0.7892,+0.085
fried-chicken,0.6702,0.8963,+0.226
chicken-galbi,0.5312,,삭제
