class,ap50,ap50_95
jjigae-red,0.6207,0.5984
nagasaki-champon,0.6484,0.6405
jjamppong,0.6731,0.6635
bread,0.7227,0.6977
cold-noodles,0.7252,0.7129
korean-clear-soup,0.7426,0.6585
pork-cutlet-sauced,0.7595,0.6971
bulgogi,0.7618,0.7438
savory-pancake,0.7625,0.7073
rice-soup,0.7672,0.7586
seafood-spicy-tang,0.7674,0.7124
korean-red-soup,0.7681,0.7171
rice-noodle-soup,0.7787,0.6882
tteokbokki-jajang,0.7865,0.7609
noodle-plain,0.7957,0.7666
hot-pot,0.7991,0.7601
udon,0.811,0.7927
spicy-mixed-noodles,0.8326,0.8277
seafood-clear-tang,0.8363,0.7321
raw-fish,0.8472,0.8067
seafood-jjim,0.8476,0.7812
japanese-ramen,0.8536,0.8079
fried-chicken,0.8681,0.8161
mixed-rice-bowl,0.8822,0.868
tteokbokki-cream-rose,0.8855,0.8562
tteokbokki-red,0.8876,0.8692
takoyaki,0.8895,0.7853
kalguksu,0.8918,0.8577
grilled-beef,0.8965,0.8409
rice-bowl,0.8983,0.8489
curry,0.9021,0.8623
doenjang-jjigae,0.9045,0.8782
barbecue-ribs,0.9082,0.8586
dumplings,0.9142,0.8706
seaweed-rice-roll,0.9203,0.8612
squid-dish,0.9355,0.9209
fish-cake,0.9356,0.8717
grilled-pork-belly,0.9388,0.8641
pasta,0.9421,0.8728
shrimp-dish,0.9424,0.8739
grilled-fish,0.9427,0.9137
sushi,0.9432,0.9195
fried-food-platter,0.9448,0.8647
cold-ramen,0.9506,0.9301
salad,0.9641,0.9269
korean-blood-sausage,0.9651,0.9107
cake,0.9659,0.9431
pork-cutlet-dry,0.9674,0.9193
rice-porridge,0.9692,0.903
pizza,0.9695,0.894
sandwich,0.9716,0.9475
western-cream-soup,0.9751,0.9215
braised-chicken,0.9829,0.9522
braised-pork-hock,0.9841,0.9841
korean-ramyeon-red,0.9922,0.9407
fried-rice,0.9926,0.961
hamburger,0.994,0.9221
dim-sum,0.9944,0.8754
black-bean-noodles,0.995,0.995
