class,ap50,ap50_95
mala-hot-pot,0.213,0.1894
sweet-and-sour-pork,0.3505,0.3075
stir-fried-pork,0.5061,0.4963
nagasaki-champon,0.5614,0.5555
jjamppong,0.5859,0.5773
cold-noodles,0.6294,0.6141
chicken-galbi,0.6541,0.6037
jjigae-red,0.6551,0.6225
fried-chicken,0.6674,0.6417
korean-clear-soup,0.7124,0.6405
hot-pot,0.7188,0.6727
rice-soup,0.7363,0.7189
rice-noodle-soup,0.7367,0.6705
seafood-clear-tang,0.75,0.6709
seafood-spicy-tang,0.7502,0.6816
korean-red-soup,0.7552,0.716
spicy-mixed-noodles,0.7593,0.7554
pork-cutlet-sauced,0.7757,0.709
tteokbokki-cream-rose,0.779,0.752
takoyaki,0.7815,0.6735
bread,0.8071,0.7785
tteokbokki-jajang,0.8094,0.7865
curry,0.8138,0.755
bulgogi,0.8215,0.7851
doenjang-jjigae,0.8292,0.7873
udon,0.8339,0.8163
seafood-jjim,0.8416,0.7715
japanese-ramen,0.8432,0.7848
noodle-plain,0.8462,0.8093
dumplings,0.8503,0.8227
pasta,0.8521,0.7791
grilled-beef,0.8664,0.8222
savory-pancake,0.868,0.8076
braised-pork-hock,0.8739,0.8739
raw-fish,0.8755,0.8076
rice-bowl,0.8779,0.8159
pork-cutlet-dry,0.8872,0.8489
tteokbokki-red,0.8893,0.8705
fried-food-platter,0.8913,0.8012
korean-blood-sausage,0.8969,0.8313
mixed-rice-bowl,0.8984,0.8831
barbecue-ribs,0.9013,0.8183
squid-dish,0.9044,0.9044
grilled-fish,0.9064,0.8623
kalguksu,0.9181,0.8863
seaweed-rice-roll,0.9231,0.8662
salad,0.9256,0.8752
shrimp-dish,0.928,0.8399
cold-ramen,0.9319,0.886
fish-cake,0.9336,0.8634
rice-porridge,0.9347,0.8773
sandwich,0.9431,0.8962
grilled-pork-belly,0.9467,0.8603
pizza,0.9617,0.8845
braised-chicken,0.9625,0.9297
sushi,0.9644,0.937
cake,0.9665,0.9381
hamburger,0.969,0.8887
western-cream-soup,0.9778,0.922
dim-sum,0.9904,0.8877
korean-ramyeon-red,0.9918,0.9264
fried-rice,0.992,0.963
black-bean-noodles,0.995,0.995
