class,ap50,ap50_95
mala-hot-pot,0.2521,0.2321
sweet-and-sour-pork,0.3597,0.3155
stir-fried-pork,0.5079,0.4881
chicken-galbi,0.5312,0.4884
nagasaki-champon,0.595,0.581
jjamppong,0.6437,0.6311
fried-chicken,0.6702,0.6325
jjigae-red,0.6914,0.6656
tteokbokki-jajang,0.7045,0.6734
pork-cutlet-sauced,0.7466,0.6503
rice-soup,0.7544,0.7416
rice-noodle-soup,0.7641,0.6816
korean-red-soup,0.784,0.7397
hot-pot,0.79,0.7374
korean-clear-soup,0.7904,0.7066
cold-ramen,0.8092,0.7743
seafood-spicy-tang,0.812,0.7394
noodle-plain,0.8215,0.771
seafood-jjim,0.8219,0.7488
bulgogi,0.8265,0.7768
seafood-clear-tang,0.8265,0.7252
japanese-ramen,0.8325,0.7408
udon,0.8598,0.8424
fried-food-platter,0.8619,0.7833
spicy-mixed-noodles,0.8632,0.8585
takoyaki,0.866,0.803
curry,0.8803,0.8227
dumplings,0.8859,0.8546
cold-noodles,0.8862,0.8703
bread,0.8905,0.8578
grilled-beef,0.8937,0.8385
raw-fish,0.8938,0.826
rice-bowl,0.894,0.8374
doenjang-jjigae,0.8958,0.8568
mixed-rice-bowl,0.897,0.8805
tteokbokki-cream-rose,0.9002,0.8602
tteokbokki-red,0.9089,0.888
pork-cutlet-dry,0.9103,0.8678
barbecue-ribs,0.9142,0.812
grilled-pork-belly,0.9173,0.8272
pasta,0.9199,0.8396
seaweed-rice-roll,0.9224,0.8601
salad,0.9234,0.8757
savory-pancake,0.9296,0.8534
sandwich,0.9368,0.8901
kalguksu,0.949,0.8915
korean-blood-sausage,0.9504,0.878
sushi,0.9542,0.9335
fish-cake,0.9553,0.8932
grilled-fish,0.956,0.902
shrimp-dish,0.9567,0.8708
rice-porridge,0.9618,0.8833
braised-chicken,0.9674,0.9489
cake,0.9741,0.9436
braised-pork-hock,0.9742,0.9742
dim-sum,0.9826,0.871
western-cream-soup,0.9848,0.9276
korean-ramyeon-red,0.987,0.9062
squid-dish,0.9905,0.9905
pizza,0.9916,0.9012
fried-rice,0.9945,0.961
black-bean-noodles,0.995,0.995
hamburger,0.995,0.9079
