fixture_id,category_key,category_display_name,brand_candidate_display_name,brand_candidate_key,source_product_id,image_count,detail_page_count,review_count,decision,reviewed_manufacturer,reviewed_product_name,reason_codes
brand_7d690b3865dc559134a165c0,유산균_프로바이오틱,유산균_프로바이오틱,내츄럴플러스,내츄럴플러스,2988478762,532,32,500,,,,
brand_5241614c9b083612d31ecbd5,유산균_프로바이오틱,유산균_프로바이오틱,내츄럴플러스,내츄럴플러스,2988583431,533,34,499,,,,
brand_5413e7e7f47c3271ab11db4b,유산균_프로바이오틱,유산균_프로바이오틱,뉴트리코스트,뉴트리코스트,8372272552,225,21,204,,,,
brand_fc2ae0f817416530834daa80,유산균_프로바이오틱,유산균_프로바이오틱,락토핏,락토핏,8231059833,498,1,497,,,,
brand_fd4f564654ccdc621621807f,유산균_프로바이오틱,유산균_프로바이오틱,삼대오백,삼대오백,10284470843,529,29,500,,,,
brand_b6a4e4454416ebb057481d2d,유산균_프로바이오틱,유산균_프로바이오틱,세노비스,세노비스,585390488,503,4,499,,,,
brand_053f257fb3c50ff3b7a4a35b,유산균_프로바이오틱,유산균_프로바이오틱,세노비스,세노비스,2567126818,501,4,497,,,,
brand_1d2a9eaa2487bb58e0e75b83,유산균_프로바이오틱,유산균_프로바이오틱,세노비스,세노비스,7119313092,501,4,497,,,,
brand_7aad01e0febe510e112a9914,유산균_프로바이오틱,유산균_프로바이오틱,쏜리서치,쏜리서치,12989590701,15,5,10,,,,
brand_feab8aefe21f880159c62711,유산균_프로바이오틱,유산균_프로바이오틱,에버핏,에버핏,4993694063,499,1,498,,,,
brand_dbf8fcfd5b2aa6ed0aca7067,유산균_프로바이오틱,유산균_프로바이오틱,유한양행,유한양행,5251687769,501,6,495,,,,
brand_dc9f8aa89f0d9b9d0cd7a7d8,유산균_프로바이오틱,유산균_프로바이오틱,유한양행,유한양행,8707866332,501,4,497,,,,
brand_7463c67339261680c7f9ae9d,유산균_프로바이오틱,유산균_프로바이오틱,종근당,종근당,10437770445,494,1,493,,,,
