fixture_id,category_key,category_display_name,brand_candidate_display_name,brand_candidate_key,source_product_id,image_count,detail_page_count,review_count,decision,reviewed_manufacturer,reviewed_product_name,reason_codes
brand_9de9140de17f746f3e2b5af6,오메가3,오메가3,락티브,락티브,10718952096,499,2,497,,,,
brand_e6650aea520bc3938a9e5bd7,오메가3,오메가3,내츄럴플러스,내츄럴플러스,10008597965,501,2,499,,,,
brand_c28482647cb5f6eb53329c6b,오메가3,오메가3,닥터린,닥터린,10790603924,507,9,498,,,,
brand_6b5d477f483a2b530b8e01ea,오메가3,오메가3,뉴트리코어,뉴트리코어,10258498862,509,9,500,,,,
brand_a796b3f8e94f994c91fc5393,오메가3,오메가3,내츄럴플러스,내츄럴플러스,9020450061,233,1,232,,,,
brand_563d46e23144c93fa0329a43,오메가3,오메가3,내츄럴플러스,내츄럴플러스,5146411088,328,31,297,,,,
brand_99c8515d6678d1a48729d4de,오메가3,오메가3,종근당,종근당,8605482444,498,2,496,,,,
brand_8da685f76774b5ab4d5be2fd,오메가3,오메가3,닥터린,닥터린,11610606184,496,5,491,,,,
brand_2f9f3756e93580228b6a1559,오메가3,오메가3,나우푸드,나우푸드,5212256199,505,6,499,,,,
brand_6c3900f9341ca8144cab4864,오메가3,오메가3,유한양행,유한양행,6470222769,504,5,499,,,,
brand_be2fa2a0a5af83f379346e0b,오메가3,오메가3,스포츠리서치,스포츠리서치,10302621009,499,1,498,,,,
brand_e197f251b721ed4c8b14a961,오메가3,오메가3,고려은단,고려은단,9669821031,406,0,406,,,,
brand_e5e96bcad41ac1569f688354,오메가3,오메가3,고려은단,고려은단,9901115383,521,33,488,,,,
brand_bc3f81e1ebd7956604c98b99,오메가3,오메가3,나우푸드,나우푸드,13005748025,44,12,32,,,,
brand_c692e5d635837f76610ce95a,오메가3,오메가3,나우푸드,나우푸드,5212255205,500,1,499,,,,
brand_1e483ff45a0a57a96e12c492,오메가3,오메가3,나우푸드,나우푸드,10375712810,301,1,300,,,,
brand_a60025f3870ec20e9d56248f,오메가3,오메가3,뉴트리코스트,뉴트리코스트,12570650760,44,23,21,,,,
brand_394ad235628d363a3f3d8bd7,오메가3,오메가3,락티브,락티브,6541443880,500,2,498,,,,
brand_9cf0cbae389d5b2a017f3905,오메가3,오메가3,세노비스,세노비스,585295195,501,3,498,,,,
brand_00a0bf4af2562faca550d909,오메가3,오메가3,종근당,종근당,11721725010,495,1,494,,,,
brand_387b5dec752a495be957cdf2,오메가3,오메가3,종근당,종근당,7720131220,1009,9,1000,,,,
brand_7e990c8f20c787e7c464e0fd,오메가3,오메가3,종근당건강,종근당건강,6711743060,498,1,497,,,,
brand_1d343f7361347972cdc80204,오메가3,오메가3,종근당건강,종근당건강,12236379753,501,3,498,,,,
brand_42af33d07536edf2c1ef9c71,오메가3,오메가3,종근당건강,종근당건강,8302727992,498,1,497,,,,
brand_3731711fd889b8f0fd8acc26,유산균_프로바이오틱,유산균_프로바이오틱,나우푸드,나우푸드,9243156414,366,33,333,,,,
brand_ca908fffa0272d5edfcbb315,유산균_프로바이오틱,유산균_프로바이오틱,이노빅스랩스,이노빅스랩스,9198418859,361,35,326,,,,
brand_380de050cc26db2562005f7f,유산균_프로바이오틱,유산균_프로바이오틱,자로우포뮬러스,자로우포뮬러스,9632201353,331,37,294,,,,
brand_2e24ab3315ca5943eb693dab,유산균_프로바이오틱,유산균_프로바이오틱,내츄럴플러스,내츄럴플러스,12449147307,267,2,265,,,,
brand_7b204b2a37873970b185185e,유산균_프로바이오틱,유산균_프로바이오틱,내츄럴플러스,내츄럴플러스,12831523596,496,2,494,,,,
brand_32e1eafa11e639c7e04d18a2,유산균_프로바이오틱,유산균_프로바이오틱,내츄럴플러스,내츄럴플러스,10434462104,499,2,497,,,,
brand_cdba716678bbffeb3ae93f6e,유산균_프로바이오틱,유산균_프로바이오틱,내츄럴플러스,내츄럴플러스,10281059785,496,2,494,,,,
brand_74cbb53c42f6abde85107725,유산균_프로바이오틱,유산균_프로바이오틱,락티브,락티브,10729925421,507,15,492,,,,
brand_a22895c0b7ae58b2a3a1e067,유산균_프로바이오틱,유산균_프로바이오틱,락티브,락티브,10729794871,506,8,498,,,,
brand_ce74425465ccf65b774aced6,유산균_프로바이오틱,유산균_프로바이오틱,내츄럴플러스,내츄럴플러스,2923421420,429,2,427,,,,
brand_765f779a00c7dd5f7740fa26,유산균_프로바이오틱,유산균_프로바이오틱,종근당,종근당,12154313404,511,13,498,,,,
brand_ba8ac0ee7a057f66ddd4e8a4,유산균_프로바이오틱,유산균_프로바이오틱,혈당유산균,혈당유산균,8449893929,499,7,492,,,,
brand_cfd6ca78e030793e07d149c4,유산균_프로바이오틱,유산균_프로바이오틱,고려은단,고려은단,5059047039,499,2,497,,,,
brand_266129f47ad06861397f337f,유산균_프로바이오틱,유산균_프로바이오틱,고려은단,고려은단,7738435345,498,498,0,,,,
brand_a30fee9b7fc61b5fcdceb24c,유산균_프로바이오틱,유산균_프로바이오틱,굿앤키즈,굿앤키즈,4975936458,372,24,348,,,,
brand_c3d6970bf3c56c767988c420,유산균_프로바이오틱,유산균_프로바이오틱,굿앤키즈,굿앤키즈,4975939610,139,3,136,,,,
brand_3e878780038f60313784ffbb,유산균_프로바이오틱,유산균_프로바이오틱,굿앤키즈,굿앤키즈,4976081911,133,20,113,,,,
brand_daaceb61d6e41bcb7cbad5d2,유산균_프로바이오틱,유산균_프로바이오틱,굿앤키즈,굿앤키즈,7184792458,151,43,108,,,,
brand_cbcbd08c3426f023f4f0e643,유산균_프로바이오틱,유산균_프로바이오틱,굿앤키즈,굿앤키즈,4976156941,171,9,162,,,,
brand_cf5c05b15f7497571feda0ce,유산균_프로바이오틱,유산균_프로바이오틱,나우푸드,나우푸드,13009863586,61,3,58,,,,
brand_b2d630cf32a7502ec9c31aa3,유산균_프로바이오틱,유산균_프로바이오틱,나우푸드,나우푸드,11886643031,508,9,499,,,,
brand_ac94576d51a47a1bc2217854,유산균_프로바이오틱,유산균_프로바이오틱,나우푸드,나우푸드,11886649709,501,2,499,,,,
brand_5e0efb3589e363029ed4b04f,유산균_프로바이오틱,유산균_프로바이오틱,내츄럴플러스,내츄럴플러스,5146073110,504,7,497,,,,
brand_4d903b53dbe73a3b41214899,유산균_프로바이오틱,유산균_프로바이오틱,내츄럴플러스,내츄럴플러스,658361264,506,7,499,,,,
brand_8c8dabadd8d844795f7ad658,유산균_프로바이오틱,유산균_프로바이오틱,내츄럴플러스,내츄럴플러스,2988562082,133,28,105,,,,
brand_38432f7117b4cfafda11d0de,유산균_프로바이오틱,유산균_프로바이오틱,내츄럴플러스,내츄럴플러스,2988933590,493,31,462,,,,
