fixture_id,category_key,category_display_name,brand_candidate_display_name,brand_candidate_key,source_product_id,image_count,detail_page_count,review_count,decision,reviewed_manufacturer,reviewed_product_name,reason_codes
brand_f98648ba4f7f73941656a1f3,종합영양제,종합영양제,리포데이,리포데이,6780343859,194,2,192,,,,
brand_c7e014b4dd230c1ae112bca0,종합영양제,종합영양제,삼대오백,삼대오백,12967319692,100,24,76,,,,
brand_ff8b84d6a65316a79ecea3af,종합영양제,종합영양제,센트룸,센트룸,11700724940,502,5,497,,,,
brand_34600d88496530baaf5b8fd4,종합영양제,종합영양제,종근당,종근당,10759585485,497,1,496,,,,
brand_16088845afcfbf238d8e6952,종합영양제,종합영양제,종근당건강,종근당건강,9979216692,238,1,237,,,,
brand_8da33d57ed37663bcfa9ce3b,철분,철분,락티브,락티브,12085484859,497,2,495,,,,
brand_4276875b0c6888669fb04187,카페인_각성,카페인_각성,뉴트리코스트,뉴트리코스트,5067711722,110,10,100,,,,
brand_7c9deb72c7df5b06201ca6fb,카페인_각성,카페인_각성,뉴트리코스트,뉴트리코스트,9568875619,310,10,300,,,,
brand_af94070671e2d2afdcb03844,칼슘,칼슘,내츄럴플러스,내츄럴플러스,4930046336,499,2,497,,,,
brand_a13fd9f123da1bc8a591d0f5,칼슘,칼슘,굿앤키즈,굿앤키즈,12142716486,1,1,0,,,,
brand_496787fc6e5426db0690aa97,코엔자임q10,코엔자임Q10,닥터스베스트,닥터스베스트,11515840638,84,31,53,,,,
brand_bd8407d7893e6bcb258b1508,코엔자임q10,코엔자임Q10,종근당,종근당,12696705555,496,2,494,,,,
brand_60b852bcdc0f118787124b88,코엔자임q10,코엔자임Q10,유한양행,유한양행,9161078400,505,7,498,,,,
brand_4c5cbb66fb729ca5bf0b01e6,코엔자임q10,코엔자임Q10,나우푸드,나우푸드,6736408346,499,2,497,,,,
brand_4368976023ff1aa71bad31ee,코엔자임q10,코엔자임Q10,뉴트리코스트,뉴트리코스트,12417018361,178,3,175,,,,
brand_9b916e10c8a555e38bd98568,코엔자임q10,코엔자임Q10,유한양행,유한양행,6696305629,503,3,500,,,,
brand_52af706b9d8ba23e6225d976,콜라겐,콜라겐,에버핏,에버핏,8658265198,368,4,364,,,,
brand_73533783b3e1c4f229de45a6,콜라겐,콜라겐,세노비스,세노비스,10866050226,500,3,497,,,,
brand_ae69b3ca8178af65be68df50,콜라겐,콜라겐,에버핏,에버핏,6317415699,500,4,496,,,,
brand_cbab6ed4f3714d10e23f14cc,크레아틴,크레아틴,쏜리서치,쏜리서치,12601176345,80,11,69,,,,
brand_bfd6b7005c9d1e358f516d44,크레아틴,크레아틴,뉴트리코스트,뉴트리코스트,2936151128,432,33,399,,,,
brand_321116809e5136b43c4c0928,크레아틴,크레아틴,삼대오백,삼대오백,7831578716,530,38,492,,,,
brand_173c001cc8d712c6bf0359cf,크레아틴,크레아틴,쏜리서치,쏜리서치,12664620380,13,13,0,,,,
brand_870394ffb38ee91a3d10ac35,프로폴리스_벌,프로폴리스_벌,내츄럴플러스,내츄럴플러스,2613388556,520,25,495,,,,
brand_dce3a8dd63937f618365dd7f,프로폴리스_벌,프로폴리스_벌,나우푸드,나우푸드,5487428004,392,2,390,,,,
brand_c10469e8bcf440b5f15a2d62,프로폴리스_벌,프로폴리스_벌,내츄럴플러스,내츄럴플러스,5419103417,500,2,498,,,,
brand_f22417a0910fb72979694de9,프로폴리스_벌,프로폴리스_벌,세노비스,세노비스,585388623,496,4,492,,,,
brand_c1045ef8499d03cc5fca7e7d,프리워크아웃,프리워크아웃,뉴트리코스트,뉴트리코스트,4679873285,534,34,500,,,,
brand_efb8e8f564b83e8db3d563d3,프리워크아웃,프리워크아웃,미국산,미국산,13485743068,32,32,0,,,,
brand_255976bddab789cc779b5962,항산화,항산화,나우푸드,나우푸드,8697657480,200,3,197,,,,
brand_335ebd31bed64b30cc06285f,항산화,항산화,메가,메가,10812624449,501,5,496,,,,
brand_bde0a3780637e349ef412da7,항산화,항산화,쏜리서치,쏜리서치,12381833540,243,10,233,,,,
brand_7c06b5fc4a2753b38630ae8b,항산화,항산화,종근당,종근당,11122304882,488,1,487,,,,
brand_bc714278a1a636e4b0d8414d,혈관_낫토_폴리코사놀,혈관_낫토_폴리코사놀,나우푸드,나우푸드,10759867738,796,12,784,,,,
brand_e8bc744939ae63b1d34695e5,혈관_낫토_폴리코사놀,혈관_낫토_폴리코사놀,나우푸드,나우푸드,13005723364,21,9,12,,,,
brand_7937dc6489b5047251a77118,효소_소화,효소_소화,내츄럴플러스,내츄럴플러스,10844786654,418,1,417,,,,
brand_4cf38d47441edf5ce84791c6,효소_소화,효소_소화,내츄럴플러스,내츄럴플러스,12054178734,501,2,499,,,,
brand_bc70c6d5a3fd8bac65da1c79,효소_소화,효소_소화,내츄럴플러스,내츄럴플러스,10866550087,437,2,435,,,,
