fixture_id,category_key,category_display_name,brand_candidate_display_name,brand_candidate_key,source_product_id,image_count,detail_page_count,review_count,decision,reviewed_manufacturer,reviewed_product_name,reason_codes
brand_6df83ed95b2b785458a28220,비타민d,비타민D,고려은단,고려은단,12765563240,501,6,495,,,,
brand_100e919327c012ac526496c3,비타민d,비타민D,굿앤키즈,굿앤키즈,5834947723,528,29,499,,,,
brand_26d6c77f9ffd67280a56defb,비타민d,비타민D,나우푸드,나우푸드,10394307963,483,3,480,,,,
brand_205540caa7167985cc908075,비타민d,비타민D,나우푸드,나우푸드,13005762742,35,21,14,,,,
brand_1ccf5bdbda2b779434873b3e,비타민d,비타민D,나우푸드,나우푸드,8436961371,402,3,399,,,,
brand_6041451e3ecc12ac06865c5e,비타민d,비타민D,나우푸드,나우푸드,10980076943,402,3,399,,,,
brand_4c96aa8108fbccaca3cbf3d3,비타민d,비타민D,뉴트리코스트,뉴트리코스트,11537240293,20,13,7,,,,
brand_b56220782795336be600bbdd,비타민d,비타민D,락티브,락티브,7140160578,503,3,500,,,,
brand_1190d3858f45d64481d1e927,비타민d,비타민D,락티브,락티브,5419321788,503,5,498,,,,
brand_fdd7bf4c24557b7e2274cb74,비타민d,비타민D,락티브,락티브,13325650385,22,2,20,,,,
brand_40c12f5b6469ba32138df3a1,비타민d,비타민D,세노비스,세노비스,11873239009,165,3,162,,,,
brand_0740b41d11956927b6dd3428,비타민d,비타민D,쏜리서치,쏜리서치,12764047843,56,11,45,,,,
brand_84cc4fa66d3614b572db01de,비타민d,비타민D,쏜리서치,쏜리서치,12684195498,134,18,116,,,,
brand_0b1c6ceea03a91c6119e4701,비타민d,비타민D,쏜리서치,쏜리서치,13244298965,6,5,1,,,,
brand_dea295cb54c21944b2b58250,비타민d,비타민D,쏜리서치,쏜리서치,13244320427,7,7,0,,,,
brand_8ef42792c31cd4bf97005571,비타민d,비타민D,얼라이브,얼라이브,5873221250,502,2,500,,,,
brand_0092cfbcef0bcd4dbded24e6,비타민d,비타민D,유한양행,유한양행,6834053474,503,5,498,,,,
brand_497eff1c2356d2ff7c9e6376,비타민e,비타민E,세노비스,세노비스,585419668,499,4,495,,,,
brand_59c3b838f0290763ffa1b3f2,비타민k,비타민K,라이프익스텐션,라이프익스텐션,9925380423,222,34,188,,,,
brand_f04780d851c2de22ed8a8666,비타민k,비타민K,뉴트리코스트,뉴트리코스트,11552404482,78,2,76,,,,
brand_29f150d8bcdc40ca7cc1a6f6,비타민k,비타민K,닥터린,닥터린,10492396385,495,7,488,,,,
brand_21210d5173f8051ea344fcd8,수면_멜라토닌,수면_멜라토닌,락티브,락티브,11146379810,493,2,491,,,,
brand_fb75023feb0feccc0a17e438,수면_멜라토닌,수면_멜라토닌,락티브,락티브,12746906191,141,2,139,,,,
brand_7d99501ccc12683790eddcec,스트레스_아쉬와간다,스트레스_아쉬와간다,나우푸드,나우푸드,10476329840,402,2,400,,,,
brand_5a661f81b2bccee34257334e,스트레스_아쉬와간다,스트레스_아쉬와간다,나우푸드,나우푸드,10718380696,920,4,916,,,,
brand_08c2393f207da6965f0ec21f,스트레스_아쉬와간다,스트레스_아쉬와간다,나우푸드,나우푸드,10527873036,499,1,498,,,,
brand_fd16d7262ab05edca8e75c19,스트레스_아쉬와간다,스트레스_아쉬와간다,나우푸드,나우푸드,5127843389,506,8,498,,,,
brand_f0669d0781d954b2848ff60f,스트레스_아쉬와간다,스트레스_아쉬와간다,삼대오백,삼대오백,10067043390,507,9,498,,,,
brand_8bb740c840fc89a188d5e176,스트레스_아쉬와간다,스트레스_아쉬와간다,쏜리서치,쏜리서치,12381642667,106,40,66,,,,
brand_2f64afb380611b5dfbc0d045,스피루리나_클로렐라,스피루리나_클로렐라,내츄럴플러스,내츄럴플러스,2523500065,299,2,297,,,,
brand_40881efdce4906ca170111b2,스피루리나_클로렐라,스피루리나_클로렐라,내츄럴플러스,내츄럴플러스,4851839527,500,7,493,,,,
brand_64485a8d933f36dc9dd6410c,식이섬유,식이섬유,에버핏,에버핏,2386577571,301,2,299,,,,
brand_8b24ea6cf62fd0dca6747bc0,식이섬유,식이섬유,종근당,종근당,7720109631,493,2,491,,,,
brand_9b2a00db507d4ac372ef4d3f,아르기닌_시트룰린,아르기닌_시트룰린,뉴트리코스트,뉴트리코스트,9568876372,499,5,494,,,,
brand_286732b5110469fda4dda0c5,아르기닌_시트룰린,아르기닌_시트룰린,뉴트리코스트,뉴트리코스트,8475556921,412,13,399,,,,
brand_db78253932866340cb8ebfbc,아르기닌_시트룰린,아르기닌_시트룰린,아르기닌,아르기닌,13303700526,343,8,335,,,,
brand_acad0be4a5b4d62497869aa5,아사이_베리류,아사이_베리류,고려은단,고려은단,5093509745,504,9,495,,,,
brand_ce2e3c2318b523b582452c2c,아사이_베리류,아사이_베리류,뉴트리코스트,뉴트리코스트,2936151139,504,5,499,,,,
brand_ed9324e1c2af4c142a6c9be4,아사이_베리류,아사이_베리류,뉴트리코스트,뉴트리코스트,11536953840,13,5,8,,,,
brand_31fbdc53ada472d61871ce40,아연,아연,닥터린,닥터린,10685076925,500,5,495,,,,
brand_a39706b24be4f3333a3a95d9,아연,아연,내츄럴플러스,내츄럴플러스,11730597493,275,2,273,,,,
brand_e848be6f4a7d7c7ef735c2da,아연,아연,나우푸드,나우푸드,5350657730,279,2,277,,,,
brand_b7db8d5ca07addd6a4df7f5c,아연,아연,나우푸드,나우푸드,12132566293,279,2,277,,,,
brand_36a6bcd0ff082a853a53995a,아연,아연,내츄럴플러스,내츄럴플러스,11957040380,74,1,73,,,,
brand_f782a0068b0a173ac80b7354,아연,아연,뉴트리코스트,뉴트리코스트,8576031192,268,27,241,,,,
brand_efad687026a29c96464e80a6,아연,아연,쏜리서치,쏜리서치,12633674898,149,11,138,,,,
brand_a187cf750cefc915112cb7bc,어린이_키성장,어린이_키성장,얼라이브,얼라이브,12270942711,189,8,181,,,,
brand_ad445b9bc536181f7d5940f6,여성영양제,여성영양제,유한양행,유한양행,7978272048,503,5,498,,,,
brand_2bb1c2ac9dc6c4ad9bb898de,오메가3,오메가3,닥터스베스트,닥터스베스트,10504375833,58,34,24,,,,
brand_cb94bb8c3f2b55bbadcf9fe2,오메가3,오메가3,YDY,ydy,8195176402,403,4,399,,,,
